year,china,world
1997,0.62,120.992212
1998,1.17,188.507628
1999,4,281.537652
2000,16.9,414.794957
2001,26.5,502.292245
2002,45.8,665.065014
2003,68,781.435983
2004,87,913.327771
2005,103,1030.101289
2006,123,1162.916818
2007,162,1373.226988
2008,253,1575.06752
2009,338,1766.403814
2010,420,2023.202974
2011,485,2231.957359
2012,538,2494.736248
2013,591,2728.428107
2014,632,2956.385569
2015,668,3185.996155
2016,710,3424.971237
